ID_produit,Nom_produit,Quantite_vendue,Prix_unitaire,Date_vente,Total_vente,TVA,Date_traitement,Total_vente_normalise,Categorie_produit,Ratio_vente_quantite
1,Chemise,10.0,25.0,2022-01-05,250.0,50.0,2025-05-22 12:16:22,0.12697406580100828,Basique,25.0
2,Pantalon,8.0,35.0,2022-01-06,280.0,56.0,2025-05-22 12:16:22,0.1422109536971293,Basique,35.0
4,Cravate,12.0,15.0,2022-01-08,180.0,36.0,2025-05-22 12:16:22,0.09142132737672597,Basique,15.0
5,Robe,15.0,45.0,2022-01-09,675.0,135.0,2025-05-22 12:16:22,0.3428299776627224,Luxe,45.0
7,Pantalon,8.0,35.0,2022-01-06,280.0,56.0,2025-05-22 12:16:22,0.1422109536971293,Basique,35.0
8,,20.0,30.0,2022-01-11,600.0,120.0,2025-05-22 12:16:22,0.3047377579224199,Basique,30.0
9,Lunettes de soleil,10.0,40.0,2022-01-12,400.0,80.0,2025-05-22 12:16:22,0.20315850528161328,Basique,40.0
10,,18.0,20.0,2022-01-13,360.0,72.0,2025-05-22 12:16:22,0.18284265475345193,Basique,20.0
11,Chaussures,0.0,60.0,2022-01-14,0.0,0.0,2025-05-22 12:16:22,0.0,Luxe,
12,Montre,25.0,55.0,2022-01-15,1375.0,275.0,2025-05-22 12:16:22,0.6983573619055456,Luxe,55.0
13,Chemise,10.0,25.0,2022-01-05,250.0,50.0,2025-05-22 12:16:22,0.12697406580100828,Basique,25.0
14,Pantalon,8.0,35.0,2022-01-06,280.0,56.0,2025-05-22 12:16:22,0.1422109536971293,Basique,35.0
15,Chaussures,20.0,50.0,2022-01-07,1000.0,200.0,2025-05-22 12:16:22,0.5078962632040331,Luxe,50.0
16,Cravate,12.0,15.0,2022-01-08,180.0,36.0,2025-05-22 12:16:22,0.09142132737672597,Basique,15.0
17,Robe,15.0,45.0,2022-01-09,675.0,135.0,2025-05-22 12:16:22,0.3428299776627224,Luxe,45.0
19,Pantalon,8.0,35.0,2022-01-06,280.0,56.0,2025-05-22 12:16:22,0.1422109536971293,Basique,35.0
20,,20.0,30.0,2022-01-11,600.0,120.0,2025-05-22 12:16:22,0.3047377579224199,Basique,30.0
21,Lunettes de soleil,10.0,40.0,2022-01-12,400.0,80.0,2025-05-22 12:16:22,0.20315850528161328,Basique,40.0
22,,18.0,20.0,2022-01-13,360.0,72.0,2025-05-22 12:16:22,0.18284265475345193,Basique,20.0
23,Chaussures,0.0,60.0,2022-01-14,0.0,0.0,2025-05-22 12:16:22,0.0,Luxe,
24,Montre,25.0,55.0,2022-01-15,1375.0,275.0,2025-05-22 12:16:22,0.6983573619055456,Luxe,55.0
25,Chemise,10.0,25.0,2022-01-05,250.0,50.0,2025-05-22 12:16:22,0.12697406580100828,Basique,25.0
26,Pantalon,8.0,35.0,2022-01-06,280.0,56.0,2025-05-22 12:16:22,0.1422109536971293,Basique,35.0
27,Chaussures,20.0,50.0,2022-01-07,1000.0,200.0,2025-05-22 12:16:22,0.5078962632040331,Luxe,50.0
28,Cravate,12.0,15.0,2022-01-08,180.0,36.0,2025-05-22 12:16:22,0.09142132737672597,Basique,15.0
29,Robe,15.0,45.0,2022-01-09,675.0,135.0,2025-05-22 12:16:22,0.3428299776627224,Luxe,45.0
31,Pantalon,8.0,35.0,2022-01-06,280.0,56.0,2025-05-22 12:16:22,0.1422109536971293,Basique,35.0
32,,20.0,30.0,2022-01-11,600.0,120.0,2025-05-22 12:16:22,0.3047377579224199,Basique,30.0
33,Lunettes de soleil,10.0,40.0,2022-01-12,400.0,80.0,2025-05-22 12:16:22,0.20315850528161328,Basique,40.0
34,,18.0,20.0,2022-01-13,360.0,72.0,2025-05-22 12:16:22,0.18284265475345193,Basique,20.0
35,Chaussures,0.0,60.0,2022-01-14,0.0,0.0,2025-05-22 12:16:22,0.0,Luxe,
36,Montre,25.0,55.0,2022-01-15,1375.0,275.0,2025-05-22 12:16:22,0.6983573619055456,Luxe,55.0
37,Chemise,10.0,25.0,2022-01-05,250.0,50.0,2025-05-22 12:16:22,0.12697406580100828,Basique,25.0
38,Pantalon,8.0,35.0,2022-01-06,280.0,56.0,2025-05-22 12:16:22,0.1422109536971293,Basique,35.0
39,Chaussures,20.0,50.0,2022-01-07,1000.0,200.0,2025-05-22 12:16:22,0.5078962632040331,Luxe,50.0
40,Cravate,12.0,15.0,2022-01-08,180.0,36.0,2025-05-22 12:16:22,0.09142132737672597,Basique,15.0
41,Robe,15.0,45.0,2022-01-09,675.0,135.0,2025-05-22 12:16:22,0.3428299776627224,Luxe,45.0
43,Pantalon,8.0,35.0,2022-01-06,280.0,56.0,2025-05-22 12:16:22,0.1422109536971293,Basique,35.0
44,,20.0,30.0,2022-01-11,600.0,120.0,2025-05-22 12:16:22,0.3047377579224199,Basique,30.0
45,Lunettes de soleil,10.0,40.0,2022-01-12,400.0,80.0,2025-05-22 12:16:22,0.20315850528161328,Basique,40.0
46,,18.0,20.0,2022-01-13,360.0,72.0,2025-05-22 12:16:22,0.18284265475345193,Basique,20.0
47,Chaussures,0.0,60.0,2022-01-14,0.0,0.0,2025-05-22 12:16:22,0.0,Luxe,
48,Montre,25.0,55.0,2022-01-15,1375.0,275.0,2025-05-22 12:16:22,0.6983573619055456,Luxe,55.0
49,Chemise,10.0,25.0,2022-01-05,250.0,50.0,2025-05-22 12:16:22,0.12697406580100828,Basique,25.0
50,Pantalon,8.0,35.0,2022-01-06,280.0,56.0,2025-05-22 12:16:22,0.1422109536971293,Basique,35.0
51,Chaussures,20.0,50.0,2022-01-07,1000.0,200.0,2025-05-22 12:16:22,0.5078962632040331,Luxe,50.0
52,Cravate,12.0,15.0,2022-01-08,180.0,36.0,2025-05-22 12:16:22,0.09142132737672597,Basique,15.0
53,Robe,15.0,45.0,2022-01-09,675.0,135.0,2025-05-22 12:16:22,0.3428299776627224,Luxe,45.0
55,Pantalon,8.0,35.0,2022-01-06,280.0,56.0,2025-05-22 12:16:22,0.1422109536971293,Basique,35.0
56,,20.0,30.0,2022-01-11,600.0,120.0,2025-05-22 12:16:22,0.3047377579224199,Basique,30.0
57,Lunettes de soleil,10.0,40.0,2022-01-12,400.0,80.0,2025-05-22 12:16:22,0.20315850528161328,Basique,40.0
58,,18.0,20.0,2022-01-13,360.0,72.0,2025-05-22 12:16:22,0.18284265475345193,Basique,20.0
59,Chaussures,0.0,60.0,2022-01-14,0.0,0.0,2025-05-22 12:16:22,0.0,Luxe,
60,Montre,25.0,55.0,2022-01-15,1375.0,275.0,2025-05-22 12:16:22,0.6983573619055456,Luxe,55.0
61,Chemise,10.0,25.0,2022-01-05,250.0,50.0,2025-05-22 12:16:22,0.12697406580100828,Basique,25.0
62,Pantalon,8.0,35.0,2022-01-06,280.0,56.0,2025-05-22 12:16:22,0.1422109536971293,Basique,35.0
63,Chaussures,20.0,50.0,2022-01-07,1000.0,200.0,2025-05-22 12:16:22,0.5078962632040331,Luxe,50.0
64,Cravate,12.0,15.0,2022-01-08,180.0,36.0,2025-05-22 12:16:22,0.09142132737672597,Basique,15.0
65,Robe,15.0,45.0,2022-01-09,675.0,135.0,2025-05-22 12:16:22,0.3428299776627224,Luxe,45.0
14,Pantalon,12.2,12.68,2023-06-10,154.696,30.9392,2025-05-22 12:16:22,0.07856952033261111,Basique,12.68
80,Pull,12.0,14.12,18/07/2024,169.44,33.888,2025-05-22 12:16:22,0.08605794283729137,Basique,14.12
82,Cravate,14.0,30.61,18/11/2023,428.53999999999996,85.708,2025-05-22 12:16:22,0.21765386463345635,Basique,30.609999999999996
64,Pantalon,15.4,23.76,invalid_date,365.90400000000005,73.18080000000002,2025-05-22 12:16:22,0.1858412742914086,Basique,23.76
65,Cravate,3.9,58.54,invalid_date,228.30599999999998,45.6612,2025-05-22 12:16:22,0.11595576426705999,Luxe,58.54
44,Chemise,12.2,62.96,2023-08-09,768.112,153.6224,2025-05-22 12:16:22,0.3901212145221763,Luxe,62.96
91,Chemise,5.3,87.37,invalid_date,463.06100000000004,92.61220000000002,2025-05-22 12:16:22,0.23518695153552283,Luxe,87.37
53,Montre,17.4,70.6,2023-12-13,1228.4399999999998,245.688,2025-05-22 12:16:22,0.6239200855703624,Luxe,70.6
52,Pull,16.2,32.38,invalid_date,524.556,104.91120000000001,2025-05-22 12:16:22,0.2664200322412548,Basique,32.38
